Date,Close,High,Low,Open,trend
2018-01-01,112.66,112.69,112.64,112.67,112.99914132315371
2018-01-02,112.3,112.8,112.06,112.67,112.82482847434378
2018-01-03,112.5,112.61,112.17,112.3,112.65030366220685
2018-01-04,112.75,112.87,112.46,112.5,112.4750269056195
2018-01-05,113.08,113.32,112.72,112.75,112.29836428366943
2018-01-08,113.09,113.39,112.89,113.06,112.11985373362822
2018-01-09,112.66,113.19,112.36,113.11,111.93952171509015
2018-01-10,111.44,112.78,111.28,112.66,111.75800102906595
2018-01-11,111.25,111.89,111.05,111.44,111.57637477549444
2018-01-12,111.04,111.7,110.91,111.26,111.39552730367127
2018-01-15,110.54,111.2,110.32,111.07,111.2161389786575
2018-01-16,110.45,110.98,110.25,110.55,111.03866796094933
2018-01-17,111.28,111.34,110.19,110.44,110.86314982418136
2018-01-18,111.11,111.5,110.7,111.3,110.68925222451261
2018-01-19,110.78,111.14,110.5,111.11,110.51690334946201
2018-01-22,110.92,111.23,110.52,110.62,110.34629435390816
2018-01-23,110.31,111.19,110.25,110.92,110.17778082813625
2018-01-24,109.22,110.34,108.97,110.31,110.01207692846026
2018-01-25,109.41,109.7,108.5,109.22,109.84997944817673
2018-01-26,108.72,109.78,108.28,109.42,109.69179013250186
2018-01-29,108.95,109.2,108.5,108.69,109.53753573949686
2018-01-30,108.78,109.22,108.42,108.97,109.38663565839009
2018-01-31,109.19,109.45,108.58,108.78,109.23814206857267
2018-02-01,109.41,109.75,109.09,109.19,109.09072800214932
2018-02-02,110.11,110.48,109.28,109.41,108.9430364024318
2018-02-05,109.11,110.31,108.98,110.11,108.7939097577305
2018-02-06,109.56,109.66,108.44,109.08,108.64291990860431
2018-02-07,109.33,109.72,108.92,109.56,108.48983625201359
2018-02-08,108.75,109.78,108.58,109.31,108.33500135997579
2018-02-09,108.8,109.31,108.05,108.75,108.17928290685087
2018-02-12,108.66,108.95,108.44,108.81,108.02380794114882
2018-02-13,107.83,108.78,107.39,108.64,107.87009145956279
2018-02-14,107.02,107.91,106.72,107.83,107.72004607882269
2018-02-15,106.12,107.03,106.03,107.0,107.57555935849615
2018-02-16,106.31,106.41,105.53,106.14,107.43808132935163
2018-02-19,106.6,106.73,106.09,106.33,107.30815229755842
2018-02-20,107.33,107.39,106.56,106.61,107.18560751845499
2018-02-21,107.78,107.92,107.27,107.33,107.06983965219382
2018-02-22,106.75,107.81,106.59,107.78,106.96033160422837
2018-02-23,106.89,107.14,106.48,106.75,106.8570101302295
2018-02-26,106.94,107.3,106.38,106.84,106.75967052861542
2018-02-27,107.33,107.69,106.78,106.94,106.66812871647292
2018-02-28,106.67,107.53,106.55,107.33,106.58231331680844
2018-03-01,106.24,107.2,106.16,106.67,106.50256662218064
2018-03-02,105.75,106.31,105.25,106.23,106.42928572932506
2018-03-05,106.2,106.25,105.36,105.69,106.36270363083844
2018-03-06,106.12,106.47,105.84,106.2,106.30262876573661
2018-03-07,106.08,106.22,105.44,106.12,106.2487678832661
2018-03-08,106.2,106.31,105.88,106.06,106.20071358969484
2018-03-09,106.8,107.06,106.16,106.25,106.15795301136373
2018-03-12,106.42,106.97,106.31,106.81,106.11997282862004
2018-03-13,106.58,107.31,106.25,106.42,106.08666100117891
2018-03-14,106.33,106.75,106.05,106.56,106.05809300573765
2018-03-15,106.34,106.42,105.78,106.33,106.0346526558678
2018-03-16,106.02,106.39,105.61,106.34,106.01689370701237
2018-03-19,106.09,106.31,105.67,105.95,106.00556075670447
2018-03-20,106.53,106.61,105.92,106.08,106.00140034391026
2018-03-21,106.06,106.64,105.88,106.53,106.00521178212298
2018-03-22,105.28,106.09,105.25,106.06,106.01812475962097
2018-03-23,104.74,105.36,104.64,105.29,106.04130320731869
2018-03-26,105.41,105.49,104.56,104.73,106.07544972815577
2018-03-27,105.34,105.92,105.33,105.41,106.12045361056731
2018-03-28,106.86,107.02,105.31,105.33,106.17578823690826
2018-03-29,106.43,106.93,106.25,106.85,106.24043920602699
2018-03-30,106.28,106.55,106.11,106.42,106.31381974912381
2018-04-02,105.89,106.45,105.66,106.25,106.39546157289527
2018-04-03,106.61,106.67,105.69,105.89,106.48487524669467
2018-04-04,106.78,106.85,105.98,106.61,106.58125542639232
2018-04-05,107.38,107.5,106.71,106.77,106.6838749708294
2018-04-06,106.93,107.47,106.78,107.39,106.79213095420563
2018-04-09,106.77,107.22,106.61,106.92,106.905855528864
2018-04-10,107.2,107.41,106.61,106.81,107.024967015301
